korname,engname,update,aff,bs,ms,phd,advisor,advisor2,handle,debut,mathgen,mrauthid,scholar,website,thesis,hide
주원영,Weonyoung Joo,202203,이화여자대학교 통계학과,2009,2014,,,,,2020,,1384601,r2eJgW4AAAAJ,http://www.ewha.ac.kr/ewha/professor/info.do?mode=view&pId=JDtZ1J%2FL11IOH%2BCTXAL4Zw%3D%3D,,
지상문,Sang-Mun Chi,200109,경성대학교 소프트웨어학과,,1991,,,,,1998,,,,https://kscms.ks.ac.kr/software/CMS/ProfessorMgr/list.do?mCode=MN024,,
진상돈,Sangdon Jin,202303,충북대학교 수학교육과,,2013,2020,변재형,,283581,2020,,1278097,,https://sites.google.com/view/sangdonjin,Variational methods for singularly perturbed problems,
진범자,Bumja Jin,,목포대학교 수학교육과,,1995,2000,최희준,,41829,2000,,669574,,https://mmed.mokpo.ac.kr/mmed/2739/subview.do,Existence of solutions of the compressible Navier-Stokes equations,
차병철,Byungchul Cha,202501,홍익대학교 수학교육과,1990,,,,,,2003,77480,754933,,https://sites.google.com/view/byungchulcha/,Vanishing of Some Cohomology Groups and Bounds for the Order of Shaferevich-Tate Groups of Elliptic Curves,
차재춘,Jae Choon Cha,200009,POSTECH 수학과,1989,1993,2000,고기형,,41825,2000,51560,630269,BJLT0IIAAAAJ,https://gt.postech.ac.kr/~jccha/,Links in rational homology spheres,
채희준,Hi-joon Chae,200003,홍익대학교 수학교육과,1986,,,,,,1994,,612182,,https://math.hongik.ac.kr/math/0201.do?mode=view&deptCd=AAF130&S1=2000&S2=10040,,
천정희,Jung Hee Cheon,,서울대학교 수리과학부,1987,1991,1997,한상근,,41791,1997,121962,616553,KlTc3U4AAAAJ,http://www.math.snu.ac.kr/~jhcheon/xe2/,The orders of the reductions of a point in the mordell-weil group of an elliptic curve,
천창범,Changbum Chun,,성균관대학교 수학과,,1987,,,,,1999,38288,658866,,https://skb.skku.edu/math/faculty.do?mode=view&perId=LZStrBodw1AWgkgtgjAKQMYGsDCKogGICECaAlsFABwCCAvJUA,Error Estimates for the Bifurcation Function for Semilinear Elliptic Boundary Value Problems,
최경진,Kyoung Jin Choi,201107,"University of Calgary, Haskayne School of Business (캐나다)",,1998,2004,곽도영,구형건,41872,2004,,781141,mQVpjNUAAAAJ,https://sites.google.com/site/kyoungjinchoiecon/,Discretionary stopping in an optimal consumption and portfolio seletion problem,
